opportunity,buyer_industry,deal_size,competitors,outcome,win_loss_reason,reusable_learning
City of Lakes Municipal Authority,Government,$805K (3-year),GovTech Solutions | DataVista,Win,Strongest municipal references | StateRAMP certification | competitive pricing 15% below next bidder,Government buyers value sector-specific references and compliance certifications over general platform capabilities
Metro Health System,Healthcare,$1.59M (3-year),HealthData Solutions | Medilytics,Loss,Insufficient healthcare domain expertise | no HITRUST certification | weaker clinical analytics capabilities,Do not pursue large health system deals without HITRUST certification and dedicated clinical informatics team
Nova Education Consortium,Higher Education,$1.12M (3-year),CampusIQ | EduAnalytics Pro,Win,Strong pricing through consortium discount | EduTech partnership added credibility | effective early alert demo,Subcontractor partnerships can compensate for domain expertise gaps but timeline risk increases with multi-institution scope
Riverdale County Government,Government,$480K (3-year),DataVista | CivicPulse,Win,Existing relationship from prior engagement | proven platform performance | strong project management track record,Existing client expansions have highest win rates; invest in customer success to generate expansion opportunities
Tri-State Financial Services Group,Financial Services,$920K (3-year),Tableau | PowerBI Enterprise | FinAnalytica,Loss,Competed against entrenched Tableau deployment | buyer preferred augmenting existing tools over platform replacement,Avoid competing head-to-head with entrenched BI tools; position as complementary or focus on capabilities they lack
Lakewood School District,K-12 Education,$340K (3-year),SchoolData Analytics | Clever Analytics,Win,Strong FERPA compliance documentation | intuitive teacher-facing dashboards | competitive pricing for K-12 budget,K-12 buyers are highly price-sensitive; emphasize ease of use for non-technical educators in demos
Midwest Regional Transit Authority,Transportation,$650K (3-year),TransitVue | DataVista,Win,Real-time dashboard capabilities | proven transit reference from Metro Transit | strong Azure integration,Transportation sector values real-time data capabilities; invest in streaming analytics demonstrations
Statewide Workforce Development Board,Government,$290K (3-year),WorkforceIQ | GovTech Solutions,Win,Multi-site deployment experience | flexible data integration | strong state government procurement process knowledge,Government workforce agencies value compliance with federal reporting requirements; automate grant reporting capabilities
Pacific Northwest Health Plan,Healthcare,$720K (3-year),HealthData Solutions | Arcadia Analytics,Loss,Competitor offered certified EHR integrations and population health registry; our healthcare module was too nascent,Health plan analytics requires deep claims data expertise and payer-specific workflow knowledge
Summit County School District,K-12 Education,$280K (3-year),CampusIQ | Clever Analytics,Loss,Lost on timeline; buyer needed 6-week implementation and we proposed 14 weeks as minimum viable,Some K-12 deals require rapid deployment; develop a lightweight starter package for faster time-to-value
